DATE,GDP
1947,249.943
1948,274.806
1949,272.827
1950,300.194
1951,347.295
1952,367.734
1953,389.737
1954,391.146
1955,426.173
1956,450.131
1957,474.852
1958,482.043
1959,522.456
1960,543.280
1961,563.308
1962,605.116
1963,638.579
1964,685.784
1965,743.726
1966,815.036
1967,861.730
1968,942.477
1969,1019.884
1970,1075.890
1971,1167.766
1972,1282.447
1973,1428.539
1974,1548.819
1975,1688.920
1976,1877.592
1977,2085.951
1978,2356.569
1979,2632.139
1980,2862.508
1981,3210.947
1982,3344.993
1983,3638.136
1984,4040.690
1985,4346.744
1986,4590.153
1987,4870.217
1988,5252.630
1989,5657.695
1990,5979.584
1991,6174.050
1992,6539.300
1993,6878.711
1994,7308.756
1995,7664.061
1996,8100.201
1997,8608.519
1998,9089.160
1999,9660.622
2000,10284.775
2001,10621.827
2002,10977.522
2003,11510.674
2004,12274.927
2005,13093.722
2006,13855.892
2007,14477.636
2008,14718.588
2009,14418.740
2010,14964.383
2011,15517.934
2012,16155.255
2013,16691.517
2014,17427.609
2015,18120.714
2016,18624.475
2017,19390.605