DATE,Inflation Percent
1960,1.509929427
1961,1.075181891
1962,1.116071429
1963,1.214128036
1964,1.308615049
1965,1.66846071
1966,2.991000529
1967,2.775636083
1968,4.217721097
1969,5.414700472
1970,5.895295903
1971,4.255928924
1972,3.305614735
1973,6.220063864
1974,11.03526022
1975,9.131930735
1976,5.737027083
1977,6.486460064
1978,7.647463851
1979,11.26604409
1980,13.50937033
1981,10.31553398
1982,6.160616062
1983,3.212435233
1984,4.317269076
1985,3.561116458
1986,1.858736059
1987,3.740875912
1988,4.009088244
1989,4.82700303
1990,5.39795644
1991,4.234963965
1992,3.028819678
1993,2.951656966
1994,2.607441592
1995,2.805419689
1996,2.9312042
1997,2.337689937
1998,1.552279099
1999,2.188027197
2000,3.376857271
2001,2.826171119
2002,1.586031627
2003,2.270094973
2004,2.677236693
2005,3.392746845
2006,3.225944101
2007,2.852672482
2008,3.839100297
2009,-0.355546266
2010,1.640043442
2011,3.156841569
2012,2.069337265
2013,1.464832656
2014,1.622222977
2015,0.118627136
2016,1.261583206